layout,algorithm,evalFn,seed,point,WIN/LOSS,time
mediumClassic.lay,MinimaxAgent,betterEvaluationFunction,23520906,670.0,Win,95.85623669624329
mediumClassic.lay,MinimaxAgent,newBetterEvaluationFunction,23520902,-25.0,Loss,8.039017915725708
mediumClassic.lay,MinimaxAgent,newBetterEvaluationFunction,23520903,1355.0,Win,32.07911133766174
mediumClassic.lay,MinimaxAgent,newBetterEvaluationFunction,23520904,1921.0,Win,18.828718185424805
mediumClassic.lay,MinimaxAgent,newBetterEvaluationFunction,23520905,1701.0,Win,18.692649364471436
mediumClassic.lay,MinimaxAgent,newBetterEvaluationFunction,23520906,1703.0,Win,21.46657919883728
mediumClassic.lay,AlphaBetaAgent,scoreEvaluationFunction,23520902,1539.0,Win,24.025416612625122
mediumClassic.lay,AlphaBetaAgent,scoreEvaluationFunction,23520903,1169.0,Win,34.22768998146057
mediumClassic.lay,AlphaBetaAgent,scoreEvaluationFunction,23520904,-1818.0,Loss,112.01255559921265
mediumClassic.lay,AlphaBetaAgent,scoreEvaluationFunction,23520905,-10.0,Loss,16.75521421432495
mediumClassic.lay,AlphaBetaAgent,scoreEvaluationFunction,23520906,102.0,Loss,23.045957565307617
mediumClassic.lay,AlphaBetaAgent,betterEvaluationFunction,23520902,-25.0,Loss,6.698582887649536
mediumClassic.lay,AlphaBetaAgent,betterEvaluationFunction,23520903,1151.0,Win,22.24723505973816
mediumClassic.lay,AlphaBetaAgent,betterEvaluationFunction,23520904,1512.0,Win,10.613861083984375
mediumClassic.lay,AlphaBetaAgent,betterEvaluationFunction,23520905,1699.0,Win,11.4005606174469
mediumClassic.lay,AlphaBetaAgent,betterEvaluationFunction,23520906,670.0,Win,59.05928874015808
mediumClassic.lay,AlphaBetaAgent,newBetterEvaluationFunction,23520902,-25.0,Loss,5.159815073013306
mediumClassic.lay,AlphaBetaAgent,newBetterEvaluationFunction,23520903,1355.0,Win,21.46972393989563
mediumClassic.lay,AlphaBetaAgent,newBetterEvaluationFunction,23520904,1921.0,Win,11.328633546829224
mediumClassic.lay,AlphaBetaAgent,newBetterEvaluationFunction,23520905,1701.0,Win,11.261091232299805
mediumClassic.lay,AlphaBetaAgent,newBetterEvaluationFunction,23520906,1703.0,Win,12.115344524383545
mediumClassic.lay,ExpectimaxAgent,scoreEvaluationFunction,23520902,27.0,Loss,62.797308683395386
mediumClassic.lay,ExpectimaxAgent,scoreEvaluationFunction,23520903,288.0,Loss,38.86885380744934
mediumClassic.lay,ExpectimaxAgent,scoreEvaluationFunction,23520904,-inf,Loss,-inf
mediumClassic.lay,ExpectimaxAgent,scoreEvaluationFunction,23520905,-11.0,Loss,23.547743797302246
mediumClassic.lay,ExpectimaxAgent,scoreEvaluationFunction,23520906,880.0,Win,86.56829452514648
mediumClassic.lay,ExpectimaxAgent,betterEvaluationFunction,23520902,-27.0,Loss,7.389383554458618
mediumClassic.lay,ExpectimaxAgent,betterEvaluationFunction,23520903,1532.0,Win,13.03715181350708
mediumClassic.lay,ExpectimaxAgent,betterEvaluationFunction,23520904,1512.0,Win,12.622616052627563
mediumClassic.lay,ExpectimaxAgent,betterEvaluationFunction,23520905,1905.0,Win,13.755408525466919
mediumClassic.lay,ExpectimaxAgent,betterEvaluationFunction,23520906,1298.0,Win,15.680482864379883
mediumClassic.lay,ExpectimaxAgent,newBetterEvaluationFunction,23520902,-27.0,Loss,8.059545516967773
mediumClassic.lay,ExpectimaxAgent,newBetterEvaluationFunction,23520903,1941.0,Win,13.717543601989746
mediumClassic.lay,ExpectimaxAgent,newBetterEvaluationFunction,23520904,1921.0,Win,14.71085810661316
mediumClassic.lay,ExpectimaxAgent,newBetterEvaluationFunction,23520905,1919.0,Win,13.417968273162842
mediumClassic.lay,ExpectimaxAgent,newBetterEvaluationFunction,23520906,1715.0,Win,16.66245460510254
trickyClassic.lay,MinimaxAgent,scoreEvaluationFunction,23520902,1164.0,Loss,181.66097378730774
trickyClassic.lay,MinimaxAgent,scoreEvaluationFunction,23520903,394.0,Loss,35.31224775314331
trickyClassic.lay,MinimaxAgent,scoreEvaluationFunction,23520904,230.0,Loss,241.6670262813568
trickyClassic.lay,MinimaxAgent,scoreEvaluationFunction,23520905,456.0,Loss,238.061514377594
trickyClassic.lay,MinimaxAgent,scoreEvaluationFunction,23520906,571.0,Loss,152.8463134765625
trickyClassic.lay,MinimaxAgent,betterEvaluationFunction,23520902,-245.0,Loss,26.912763595581055
trickyClassic.lay,MinimaxAgent,betterEvaluationFunction,23520903,-762.0,Loss,220.21211075782776
trickyClassic.lay,MinimaxAgent,betterEvaluationFunction,23520904,242.0,Loss,47.38308811187744
trickyClassic.lay,MinimaxAgent,betterEvaluationFunction,23520905,136.0,Loss,128.3189663887024
trickyClassic.lay,MinimaxAgent,betterEvaluationFunction,23520906,457.0,Loss,134.72104787826538
trickyClassic.lay,MinimaxAgent,newBetterEvaluationFunction,23520902,-245.0,Loss,27.05795955657959
trickyClassic.lay,MinimaxAgent,newBetterEvaluationFunction,23520903,-45.0,Loss,57.925373792648315
trickyClassic.lay,MinimaxAgent,newBetterEvaluationFunction,23520904,263.0,Loss,44.662965297698975
trickyClassic.lay,MinimaxAgent,newBetterEvaluationFunction,23520905,136.0,Loss,124.33126497268677
trickyClassic.lay,MinimaxAgent,newBetterEvaluationFunction,23520906,347.0,Loss,117.36961030960083
trickyClassic.lay,AlphaBetaAgent,scoreEvaluationFunction,23520902,1164.0,Loss,116.37847805023193
trickyClassic.lay,AlphaBetaAgent,scoreEvaluationFunction,23520903,394.0,Loss,24.99113130569458
trickyClassic.lay,AlphaBetaAgent,scoreEvaluationFunction,23520904,230.0,Loss,181.38862895965576
trickyClassic.lay,AlphaBetaAgent,scoreEvaluationFunction,23520905,456.0,Loss,134.3008918762207
trickyClassic.lay,AlphaBetaAgent,scoreEvaluationFunction,23520906,571.0,Loss,116.39998602867126
trickyClassic.lay,AlphaBetaAgent,betterEvaluationFunction,23520902,-245.0,Loss,19.025959968566895
trickyClassic.lay,AlphaBetaAgent,betterEvaluationFunction,23520903,-762.0,Loss,152.3205406665802
trickyClassic.lay,AlphaBetaAgent,betterEvaluationFunction,23520904,242.0,Loss,32.846765756607056
trickyClassic.lay,AlphaBetaAgent,betterEvaluationFunction,23520905,136.0,Loss,95.36703038215637
trickyClassic.lay,AlphaBetaAgent,betterEvaluationFunction,23520906,457.0,Loss,103.33141374588013
trickyClassic.lay,AlphaBetaAgent,newBetterEvaluationFunction,23520902,-245.0,Loss,22.60636043548584
trickyClassic.lay,AlphaBetaAgent,newBetterEvaluationFunction,23520903,-45.0,Loss,48.46512031555176
trickyClassic.lay,AlphaBetaAgent,newBetterEvaluationFunction,23520904,263.0,Loss,30.476585626602173
trickyClassic.lay,AlphaBetaAgent,newBetterEvaluationFunction,23520905,136.0,Loss,88.93016648292542
trickyClassic.lay,AlphaBetaAgent,newBetterEvaluationFunction,23520906,347.0,Loss,81.17767024040222
trickyClassic.lay,ExpectimaxAgent,scoreEvaluationFunction,23520902,472.0,Loss,178.5752420425415
trickyClassic.lay,ExpectimaxAgent,scoreEvaluationFunction,23520903,363.0,Loss,34.046241760253906
trickyClassic.lay,ExpectimaxAgent,scoreEvaluationFunction,23520904,230.0,Loss,248.25760793685913
trickyClassic.lay,ExpectimaxAgent,scoreEvaluationFunction,23520905,635.0,Loss,267.7362732887268
trickyClassic.lay,ExpectimaxAgent,scoreEvaluationFunction,23520906,575.0,Loss,162.55089378356934
trickyClassic.lay,ExpectimaxAgent,betterEvaluationFunction,23520902,202.0,Loss,80.55533146858215
trickyClassic.lay,ExpectimaxAgent,betterEvaluationFunction,23520903,-520.0,Loss,464.6860749721527
trickyClassic.lay,ExpectimaxAgent,betterEvaluationFunction,23520904,91.0,Loss,80.00662517547607
